Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
32	4120.163	100.73998	4272.966	4008.896	4497.4355	79.86561	4662.6113	4365.972	1000.0	1000.0	160000	267.38245	65.30174	345.15472	-37.929626	267.3823	65.30176	346.02124	-42.592846	267.25052	64.73295	344.32028	-43.985924	2.0517216	3.5764358	27.219488	-14.04227	-268.13156	5.528033	5.4424295	2.963663	421.7666838169098
33	4099.626	110.46233	4255.7563	3919.5798	4599.7065	91.80034	4736.655	4466.6577	1000.0	1000.0	165000	270.5555	64.76138	348.28287	-36.052845	270.5554	64.7614	349.81934	-42.56454	270.41296	64.19344	349.84964	-43.308052	2.0696084	3.5996697	30.282013	-13.416306	-271.2769	5.690176	5.604311	2.9767034	435.27534580230713
34	4102.632	70.04684	4209.825	4034.6423	4475.4683	63.22743	4598.2144	4369.2026	1000.0	1000.0	170000	273.3165	64.95692	352.48288	-42.923355	273.31644	64.95757	354.88138	-46.78594	273.16403	64.395294	349.03348	-41.40569	2.1034563	3.622938	29.79744	-17.222641	-274.02344	5.5085983	5.4039116	2.9775057	448.88214802742004
35	3988.9597	122.32391	4157.7974	3807.1846	4410.3867	57.301292	4550.8296	4344.675	1000.0	1000.0	175000	276.10034	64.99539	351.00443	-39.820347	276.10004	64.9959	352.97162	-43.47205	275.93716	64.42711	350.83136	-42.08679	2.0869722	3.6250348	29.656626	-12.987644	-276.78915	5.82909	5.710368	2.9717152	462.49328231811523
36	4056.1438	97.063515	4190.992	3892.084	4530.4683	60.71113	4625.5347	4439.6836	1000.0	1000.0	180000	278.66208	64.31321	354.36456	-40.713993	278.66217	64.31388	356.28323	-45.77751	278.47842	63.738758	354.06396	-44.398678	2.1517174	3.6654868	31.277401	-12.919239	-279.3261	5.639201	5.5005436	2.9089215	476.1588578224182
37	4101.4365	50.320736	4161.116	4037.615	4765.7275	83.206406	4934.67	4623.142	1000.0	1000.0	185000	281.07385	64.42438	355.576	-38.560005	281.07358	64.42552	357.1003	-43.7329	280.89484	63.85907	354.05588	-40.360207	2.1522722	3.6659048	39.09706	-16.820297	-281.7435	5.5032687	5.4022603	2.89825	489.8104944229126
38	4252.2485	92.21331	4378.162	4112.654	4630.032	109.107155	4769.044	4454.208	1000.0	1000.0	190000	283.89825	63.772	361.3745	-39.008114	283.89813	63.77298	361.7979	-46.61703	283.70908	63.211575	360.0091	-43.454628	2.179585	3.688933	27.549244	-12.803156	-284.54916	5.581258	5.438806	2.9452753	503.3811664581299
39	4165.8325	102.168884	4279.408	4013.6936	4545.1084	72.00717	4693.1235	4454.219	1000.0	1000.0	195000	286.30157	63.63632	360.03412	-44.37366	286.30118	63.638767	360.77963	-50.18638	286.10416	63.06387	358.78442	-49.96153	2.1850097	3.6598656	33.91129	-14.441757	-286.9436	5.49504	5.351335	2.9802027	517.1113381385803
40	4286.5615	94.31388	4464.8643	4198.1655	4609.7383	72.40545	4722.61	4467.8267	1000.0	1000.0	200000	288.99762	62.89219	361.56113	-45.57106	288.9974	62.894627	361.1246	-48.170605	288.78064	62.33461	362.41995	-44.7194	2.1820474	3.686024	28.553026	-16.60351	-289.61395	5.5614824	5.402385	2.8701522	530.7915260791779
41	4205.2256	59.05188	4306.067	4155.1157	4664.949	69.515	4828.3716	4561.56	1000.0	1000.0	205000	291.01373	63.10733	364.5099	-40.020313	291.01355	63.10914	363.653	-45.151913	290.79404	62.541206	363.0057	-46.81949	2.2309923	3.6861076	32.86255	-16.549896	-291.6264	5.324181	5.1726265	2.8445544	544.6772265434265
42	4278.1665	121.83263	4420.059	4111.675	4780.7266	110.41831	4905.6187	4564.798	1000.0	1000.0	210000	293.39252	62.59196	365.44492	-37.66504	293.39203	62.594025	366.07806	-39.25124	293.16046	62.02746	364.2265	-46.454506	2.278374	3.6894433	31.415909	-15.162106	-293.995	5.391136	5.2593546	2.8340058	558.429851770401
43	4303.7056	108.43174	4459.548	4150.575	4836.5454	74.32735	4967.2524	4713.9	1000.0	1000.0	215000	295.587	62.197433	368.26553	-38.43535	295.58688	62.19982	366.81937	-37.339912	295.35284	61.62261	366.98962	-39.43525	2.2934787	3.686972	32.152374	-13.50983	-296.1875	5.478458	5.29255	2.8601258	572.1905627250671
44	3905.7812	866.54706	4371.9155	2175.2722	4829.5703	60.80561	4898.24	4683.6797	1000.0	1000.0	220000	297.1588	63.07098	369.10764	-39.57511	297.15872	63.072845	368.61722	-42.3962	296.92822	62.51217	368.71896	-45.389763	2.3215892	3.7156277	35.704967	-17.574013	-297.75604	5.425298	5.2423306	2.8272848	586.0887529850006
45	4341.2285	157.73834	4613.14	4169.6304	4801.9463	83.00988	4930.157	4678.697	1000.0	1000.0	225000	299.006	63.345745	370.29092	-45.664486	299.0056	63.348724	371.85233	-47.05748	298.75543	62.794147	370.73642	-41.282265	2.2941878	3.7335904	29.732992	-14.816622	-299.5876	5.3818955	5.1994443	2.8844125	599.8979415893555
46	4402.548	146.09741	4650.042	4219.983	4807.173	102.44045	4959.328	4679.9526	1000.0	1000.0	230000	301.02945	63.46918	370.611	-54.043015	301.02945	63.47145	369.90366	-58.85776	300.77454	62.92815	369.9407	-52.15097	2.3055038	3.7291555	29.142498	-12.658145	-301.6062	5.321918	5.1577435	2.8593278	613.7732462882996
47	4423.007	153.93279	4650.6074	4212.821	4859.788	110.227295	5054.884	4618.3247	1000.0	1000.0	235000	303.1521	63.444683	372.85513	-52.711098	303.15195	63.447205	372.81494	-51.998135	302.88492	62.896996	372.2495	-59.320744	2.3083537	3.7280576	30.314322	-13.140393	-303.7101	5.343257	5.171012	2.8522675	627.7069501876831
48	4316.746	109.503586	4438.791	4145.725	4791.506	67.0686	4939.732	4726.9355	1000.0	1000.0	240000	305.25385	63.013535	376.9685	-50.893078	305.25385	63.01517	376.72046	-53.181015	304.9964	62.453285	372.30908	-58.75058	2.3283982	3.72116	33.633392	-14.090752	-305.81216	5.444121	5.263656	2.8261917	641.5872488021851
49	4449.626	127.53918	4633.808	4298.3677	4845.1504	113.09761	5010.6924	4679.232	1000.0	1000.0	245000	306.99957	62.76158	374.6053	-46.130093	306.99933	62.764828	375.29428	-46.411877	306.72464	62.211857	374.9268	-47.1282	2.365687	3.7155967	34.75682	-14.665833	-307.544	5.3766785	5.1888165	2.8142524	655.5952188968658
